dc,0,0,0,close,0.8550000000000004
dc,0,0,0,close,0.6900000000000003
dc,0,0,0,close,0.5950000000000002
dc,0,0,0,close,0.5199999999999994
dc,0,0,0,close,0.43000000000000027
dc,0,0,0,close,0.39000000000000007
dc,0,0,0,close,0.30999999999999994
dc,0,0,0,close,0.2749999999999999
dc,0,0,0,close,0.23499999999999924
dc,0,0,0,close,0.2050000000000001
dc,0,0,0,close,0.1899999999999999
dc,0,0,0,close,0.17999999999999983
dc,0,0,0,close,0.1599999999999998
dc,0,0,0,close,0.14999999999999963
dc,0,0,0,close,0.09500000000000001
dc,0,0,0,close,0.08499999999999992
dc,0,0,0,close,0.0699999999999999
dc,0,0,0,close,0.06999999999999988
